"","orders_key","loc_key","date","pizza_key","dough_key","cheese_key","topping_key","quantity","profit","pizza_size","pizza_size_value","street","city_key","city","country","year","month"
"1",453,11,2019-06-30,41,61,71,81,3,79,"small","8 inch","2067 shinn street",24,"Montreal","Canada","2019","06"
"2",453,11,2019-06-30,41,61,71,81,3,79,"small","8 inch","4869 Bellwood Acres-Rd",37,"California","USA","2019","06"
"3",908,19,2017-08-23,42,62,72,82,2,117,"medium","12 inch","3375 elm drive",30,"Toronto","Canada","2017","08"
"4",1933,12,2020-05-08,43,63,73,83,5,103,"large","16 inch","1885 chenoweth drive",25,"Vancouver","Canada","2020","05"
"5",1933,12,2020-05-08,43,63,73,83,5,103,"large","16 inch","1806 Galts Ave",33,"Boston","USA","2020","05"
"6",485,8,2018-01-05,44,64,74,84,1,88,"xlarge","20 inch","539 reppert coal road",29,"New York","USA","2018","01"
"7",485,8,2018-01-05,44,64,74,84,1,88,"xlarge","20 inch","539 reppert coal road",29,"San Francisco","USA","2018","01"
"8",674,20,2019-07-11,45,65,75,85,5,30,"Xxlarge","24 inch","1075 Benson Street",35,"Washington","USA","2019","07"
"9",436,2,2020-06-03,41,66,76,86,1,117,"small","8 inch","4704 Garafraxa-St",28,"Ottawa","Canada","2020","06"
"10",606,11,2018-08-23,42,67,77,87,1,65,"medium","12 inch","2067 shinn street",24,"Montreal","Canada","2018","08"
"11",606,11,2018-08-23,42,67,77,87,1,65,"medium","12 inch","4869 Bellwood Acres-Rd",37,"California","USA","2018","08"
"12",313,6,2020-07-05,43,68,78,88,1,28,"large","16 inch","3295 Old Spallumcheen Rd",29,"New York","USA","2020","07"
"13",313,6,2020-07-05,43,68,78,88,1,28,"large","16 inch","3295 Old Spallumcheen Rd",29,"San Francisco","USA","2020","07"
"14",703,12,2018-06-01,44,69,79,89,1,40,"xlarge","20 inch","1885 chenoweth drive",25,"Vancouver","Canada","2018","06"
"15",703,12,2018-06-01,44,69,79,89,1,40,"xlarge","20 inch","1806 Galts Ave",33,"Boston","USA","2018","06"
"16",720,10,2020-07-10,45,70,80,90,2,87,"Xxlarge","24 inch","392 Haxforth Drive",32,"Quebec City","Canada","2020","07"
"17",1972,11,2020-10-07,41,61,71,81,1,29,"small","8 inch","2067 shinn street",24,"Montreal","Canada","2020","10"
"18",1972,11,2020-10-07,41,61,71,81,1,29,"small","8 inch","4869 Bellwood Acres-Rd",37,"California","USA","2020","10"
